公司名,股票代码,交易所,热度,热度变化量
伊利股份,SH600887,SH,11062.0,-92
中国平安,SH601318,SH,6950.0,-65
比亚迪,SZ002594,SZ,6420.0,-141
昆仑万维,SZ300418,SZ,5184.0,-71
赣锋锂业,SZ002460,SZ,3402.0,73
长江电力,SH600900,SH,3402.0,83
中科曙光,SH603019,SH,3250.0,39
隆基绿能,SH601012,SH,3136.0,-23
牧原股份,SZ002714,SZ,2871.0,-25
剑桥科技,SH603083,SH,2734.0,19
浪潮信息,SZ000977,SZ,2693.0,15
三六零,SH601360,SH,2601.0,-4
中国船舶,SH600150,SH,2470.0,20
鸿博股份,SZ002229,SZ,2411.0,-13
网宿科技,SZ300017,SZ,2376.0,57
招商银行,SH600036,SH,2298.0,4
高澜股份,SZ300499,SZ,2207.0,-9
中国中免,SH601888,SH,2027.0,0
中芯集成,SH688469,SH,1995.0,0
兆易创新,SH603986,SH,1988.0,-2
长安汽车,SZ000625,SZ,1875.0,-58
Meta Platforms,META,NASDAQ,1796.0,61
立讯精密,SZ002475,SZ,1777.0,-24
TCL中环,SZ002129,SZ,1698.0,178
澜起科技,SH688008,SH,1619.0,-79
蓝色光标,SZ300058,SZ,1578.0,5
天齐锂业,SZ002466,SZ,1478.0,20
中船科技,SH600072,SH,1456.0,0
万达电影,SZ002739,SZ,1452.0,-6
中国重工,SH601989,SH,1380.0,18
康龙化成,SZ300759,SZ,1357.0,12
宋城演艺,SZ300144,SZ,1292.0,34
神州泰岳,SZ300002,SZ,1212.0,-2
通策医疗,SH600763,SH,1211.0,20
上海电影,SH601595,SH,1157.0,-2
德方纳米,SZ300769,SZ,1148.0,7
高测股份,SH688556,SH,1121.0,0
迈瑞医疗,SZ300760,SZ,1110.0,14
中石科技,SZ300684,SZ,1069.0,18
中船防务,SH600685,SH,1008.0,-8
中国科传,SH601858,SH,998.0,0
寒武纪-U,SH688256,SH,992.0,7
特斯拉,TSLA,NASDAQ,990.0,34
格力电器,SZ000651,SZ,972.0,-20
英维克,SZ002837,SZ,964.0,39
万兴科技,SZ300624,SZ,947.0,7
白云山,SH600332,SH,947.0,-14
五粮液,SZ000858,SZ,934.0,-6
紫金矿业,SH601899,SH,925.0,5
宁德时代,SZ300750,SZ,920.0,3
广誉远,SH600771,SH,915.0,-13
中文在线,SZ300364,SZ,900.0,-3
雅化集团,SZ002497,SZ,873.0,-23
汤姆猫,SZ300459,SZ,866.0,5
凯龙高科,SZ300912,SZ,864.0,4
山西汾酒,SH600809,SH,860.0,8
飞科电器,SH603868,SH,847.0,-32
比亚迪股份,01211,HK,846.0,-24
中际旭创,SZ300308,SZ,838.0,-8
华友钴业,SH603799,SH,831.0,-13
新华保险,SH601336,SH,825.0,-15
海尔智家,SH600690,SH,820.0,0
海信家电,SZ000921,SZ,809.0,-11
三安光电,SH600703,SH,797.0,-6
科大讯飞,SZ002230,SZ,792.0,-8
天马科技,SH603668,SH,789.0,-15
华大九天,SZ301269,SZ,783.0,-23
宝通科技,SZ300031,SZ,782.0,-15
中国人保,SH601319,SH,779.0,-16
国电电力,SH600795,SH,779.0,-19
云南白药,SZ000538,SZ,775.0,-8
小商品城,SH600415,SH,763.0,10
陕西煤业,SH601225,SH,762.0,2
中国建筑,SH601668,SH,753.0,-1
贵州茅台,SH600519,SH,749.0,11
精研科技,SZ300709,SZ,744.0,-5
礼来,LLY,NYSE,738.0,28
药明康德,SH603259,SH,737.0,1
中公教育,SZ002607,SZ,730.0,-6
万科A,SZ000002,SZ,724.0,-4
南方传媒,SH601900,SH,713.0,6
宝钢股份,SH600019,SH,709.0,5
工业富联,SH601138,SH,706.0,-10
涪陵榨菜,SZ002507,SZ,699.0,-3
宁波银行,SZ002142,SZ,681.0,5
拓维信息,SZ002261,SZ,675.0,19
汤臣倍健,SZ300146,SZ,672.0,11
舍得酒业,SH600702,SH,669.0,-17
新易盛,SZ300502,SZ,660.0,9
腾讯控股,00700,HK,660.0,4
太极股份,SZ002368,SZ,658.0,-14
国联股份,SH603613,SH,647.0,0
通威股份,SH600438,SH,647.0,0
数据港,SH603881,SH,643.0,9
歌尔股份,SZ002241,SZ,642.0,-3
昭衍新药,SH603127,SH,631.0,11
阳光电源,SZ300274,SZ,627.0,3
三七互娱,SZ002555,SZ,625.0,-13
石英股份,SH603688,SH,623.0,7
春秋航空,SH601021,SH,608.0,-3
